fold,n_train,n_val,MAE,RMSE,R2,MAPE_pct
1,1461,1461,0.1,0.12,0.9896,1.75
2,2922,1461,0.08,0.11,0.9911,1.48
3,4383,1461,0.07,0.1,0.9933,1.35
4,5844,1461,0.08,0.1,0.9933,1.39
5,7305,1461,0.08,0.11,0.9925,1.51
