site_id,total_score,rating,solar,wind,rain,temp,turbine_soiling_risk
esoit_001,46.1,🟠 Moderate,0.0,16.1,15,15,32.21127426828356
kalinditi_001,39.6,🟠 Moderate,0.0,9.6,15,15,15.768418613543933
